name,pa,xwoba,barrel_batted_rate,hard_hit_percent,k_percent,bb_percent,whiff_percent,SMASH,tier
"Friedl, TJ",210,0.242,3.1,28.1,24.3,7.6,25.9,41.3,RED
"Doyle, Brenton",122,0.248,5.9,35.2,32.8,9.0,32.2,41.3,RED
"Suárez, Eugenio",255,0.257,8.1,29.1,34.9,9.0,35.0,40.7,RED
"Beck, Jordan",88,0.26,3.3,26.2,25.0,5.7,29.3,40.7,RED
"Kim, Ha-Seong",82,0.212,4.1,21.6,26.8,11.0,21.1,40.4,RED
"Marchán, Rafael",85,0.214,3.0,20.9,16.5,2.4,16.8,40.0,RED
"Story, Trevor",176,0.248,3.6,41.8,32.4,4.5,31.7,39.9,RED
"Brito, Juan",56,0.256,2.9,32.4,30.4,7.1,32.5,39.9,RED
"McCann, James",65,0.21,6.4,42.6,26.2,1.5,30.1,39.5,RED
"Watson, Kahlil",68,0.247,10.0,32.5,36.8,4.4,34.1,39.4,RED
"Rivero, Sebastián",57,0.267,0.0,14.3,21.1,5.3,25.7,39.3,RED
"Rivas, Leo",120,0.238,1.5,13.6,30.0,12.5,24.1,38.9,RED
"Allen, Nick",96,0.228,1.5,25.0,21.9,6.3,28.7,38.8,RED
"Pauley, Graham",97,0.209,4.3,23.2,23.7,5.2,22.6,38.8,RED
"Slater, Austin",74,0.235,2.3,18.2,28.4,10.8,27.9,38.8,RED
"Barrosa, Jorge",125,0.211,6.4,23.1,28.8,8.0,27.7,38.6,RED
"Halpin, Petey",57,0.228,7.5,27.5,28.1,1.8,28.3,38.6,RED
"Emerson, Colt",156,0.24,5.7,28.7,34.6,8.3,35.2,38.3,RED
"Heineman, Tyler",103,0.237,1.4,14.7,21.4,2.9,21.3,37.9,RED
"Williams, Alika",83,0.229,0.0,37.0,30.1,3.6,26.4,37.7,RED
"Frazier, Adam",93,0.237,1.8,16.4,30.1,9.7,27.0,37.7,RED
"Jackson, Alex",56,0.215,2.6,36.8,28.6,0.0,26.1,36.9,AVOID
"Fulford, Braxton",66,0.215,9.4,28.1,40.9,9.1,37.7,36.5,AVOID
"Morel, Christopher",73,0.22,2.5,42.5,38.4,5.5,35.6,36.0,AVOID
"Mauricio, Ronny",50,0.205,9.4,34.4,36.0,0.0,32.1,35.7,AVOID
"Clarke, Denzel",60,0.193,3.2,46.9,40.0,6.7,35.8,35.4,AVOID
"Teodosio, Bryce",51,0.203,6.7,23.3,35.3,5.9,39.2,33.7,AVOID
"Outman, James",129,0.214,6.3,28.6,42.6,7.8,43.0,33.3,AVOID
